Samples,Text Embedding,Image Embedding,Margin,mAP,Prec@1,Prec@3,Prec@5,Top-1,Top-3,Top-5
100,FastText,RESNET50,0.1,0.40231944444444445,0.33,0.2866666666666665,0.2479999999999999,0.33,0.86,1.24
500,FastText,RESNET50,0.1,0.26132500000000003,0.174,0.16133333333333338,0.14360000000000023,0.174,0.484,0.718
1000,FastText,RESNET50,0.1,0.1905097222222223,0.11,0.1053333333333331,0.14360000000000023,0.11,0.316,0.517
100,BERT,RESNET50,1.0,0.35140277777777784,0.25,0.2333333333333334,0.2179999999999999,0.25,0.7,1.09
500,BERT,RESNET50,1.0,0.19158611111111118,0.122,0.10133333333333346,0.10000000000000016,0.122,0.304,0.5
1000,BERT,RESNET50,1.0,0.1435083333333333,0.089,0.07366666666666673,0.10000000000000016,0.089,0.221,0.338
100,BERT,RESNET50,0.1,0.35140277777777784,0.25,0.2333333333333334,0.2179999999999999,0.25,0.7,1.09
500,BERT,RESNET50,0.1,0.19158611111111118,0.122,0.10133333333333346,0.10000000000000016,0.122,0.304,0.5
1000,BERT,RESNET50,0.1,0.1435083333333333,0.089,0.07366666666666673,0.10000000000000016,0.089,0.221,0.338
100,BERT,fasterRCNN,0.1,0.33019444444444446,0.23,0.21000000000000005,0.20799999999999993,0.23,0.63,1.04
500,BERT,fasterRCNN,0.1,0.19754444444444455,0.108,0.11533333333333345,0.1044000000000001,0.108,0.346,0.522
1000,BERT,fasterRCNN,0.1,0.13862361111111116,0.071,0.074,0.1044000000000001,0.071,0.222,0.357
100,FastText,fasterRCNN,0.1,0.33888888888888885,0.25,0.24333333333333332,0.2119999999999999,0.25,0.73,1.06
500,FastText,fasterRCNN,0.1,0.2453833333333334,0.164,0.14133333333333337,0.13280000000000033,0.164,0.424,0.664
1000,FastText,fasterRCNN,0.1,0.19216249999999982,0.125,0.10466666666666645,0.13280000000000033,0.125,0.314,0.492
100,BERT,fasterRCNN,1.0,0.2915833333333333,0.23,0.18666666666666665,0.16799999999999998,0.23,0.56,0.84
500,BERT,fasterRCNN,1.0,0.18422500000000003,0.12,0.1020000000000001,0.08799999999999998,0.12,0.306,0.44
1000,BERT,fasterRCNN,1.0,0.12588611111111112,0.066,0.06766666666666672,0.08799999999999998,0.066,0.203,0.298
100,FastText,fasterRCNN,1.0,0.3543888888888888,0.29,0.25666666666666665,0.23399999999999996,0.29,0.77,1.17
500,FastText,fasterRCNN,1.0,0.22484166666666663,0.142,0.14400000000000004,0.1256000000000002,0.142,0.432,0.628
1000,FastText,fasterRCNN,1.0,0.161986111111111,0.091,0.09299999999999983,0.1256000000000002,0.091,0.279,0.44
100,FastText,RESNET50,1.0,0.3663472222222223,0.31,0.2566666666666667,0.23600000000000002,0.31,0.77,1.18
500,FastText,RESNET50,1.0,0.2348944444444444,0.152,0.14200000000000018,0.13440000000000035,0.152,0.426,0.672
1000,FastText,RESNET50,1.0,0.18144583333333322,0.102,0.10266666666666646,0.13440000000000035,0.102,0.308,0.487
