Samples,Text Embedding,Image Embedding,Margin,mAP,Prec@1,Prec@3,Prec@5,Top-1,Top-3,Top-5
100,BERT,fasterRCNN,1.0,0.3235528942115771,0.2055888223552894,0.1410512308715903,0.10578842315369304,0.2055888223552894,0.4231536926147705,0.5289421157684631
500,BERT,fasterRCNN,1.0,0.1837063682387416,0.10271782573940848,0.08086863842259581,0.06786570743405232,0.10271782573940848,0.24260591526778577,0.3393285371702638
1000,BERT,fasterRCNN,1.0,0.1367132867132871,0.07412587412587412,0.05967365967365977,0.06786570743405232,0.07412587412587412,0.17902097902097902,0.25874125874125875
100,BERT,RESNET50,1.0,0.3563539587491683,0.23552894211576847,0.15236194278110446,0.11497005988024007,0.23552894211576847,0.45708582834331335,0.5748502994011976
500,BERT,RESNET50,1.0,0.20991207034372414,0.1223021582733813,0.09179323208100272,0.07474020783373218,0.1223021582733813,0.2753796962430056,0.3737010391686651
1000,BERT,RESNET50,1.0,0.15068265068265158,0.08351648351648351,0.06580086580086554,0.07474020783373218,0.08351648351648351,0.1974025974025974,0.2815184815184815
100,BERT,fasterRCNN,0.1,0.3235528942115771,0.2055888223552894,0.1410512308715903,0.10578842315369304,0.2055888223552894,0.4231536926147705,0.5289421157684631
500,BERT,fasterRCNN,0.1,0.1837063682387416,0.10271782573940848,0.08086863842259581,0.06786570743405232,0.10271782573940848,0.24260591526778577,0.3393285371702638
1000,BERT,fasterRCNN,0.1,0.1367132867132871,0.07412587412587412,0.05967365967365977,0.06786570743405232,0.07412587412587412,0.17902097902097902,0.25874125874125875
100,FastText,fasterRCNN,0.1,0.4021290751829674,0.2834331337325349,0.1643379906852959,0.12095808383233597,0.2834331337325349,0.4930139720558882,0.6047904191616766
500,FastText,fasterRCNN,0.1,0.27751798561151164,0.16906474820143885,0.12136957100985886,0.09464428457234017,0.16906474820143885,0.3641087130295763,0.47322142286171065
1000,FastText,fasterRCNN,0.1,0.2127306027306045,0.12507492507492507,0.09157509157508986,0.09464428457234017,0.12507492507492507,0.27472527472527475,0.37942057942057944
100,BERT,RESNET50,0.1,0.36729873586161016,0.23952095808383234,0.15768463073852287,0.11736526946107843,0.23952095808383234,0.47305389221556887,0.5868263473053892
500,BERT,RESNET50,0.1,0.2400812683186784,0.145083932853717,0.10365041300293207,0.08417266187050224,0.145083932853717,0.31095123900879296,0.420863309352518
1000,BERT,RESNET50,0.1,0.18148851148851303,0.1038961038961039,0.07918747918747818,0.08417266187050224,0.1038961038961039,0.23756243756243756,0.33186813186813185
100,FastText,RESNET50,0.1,0.3900532268795745,0.2694610778443114,0.1663339986693278,0.11856287425149761,0.2694610778443114,0.499001996007984,0.592814371257485
500,FastText,RESNET50,0.1,0.2964828137490017,0.1850519584332534,0.12936317612576567,0.09952038369304332,0.1850519584332534,0.38808952837729815,0.49760191846522783
1000,FastText,RESNET50,0.1,0.22832833832834015,0.13126873126873126,0.10023310023309802,0.09952038369304332,0.13126873126873126,0.3006993006993007,0.4101898101898102
100,FastText,fasterRCNN,1.0,0.3743845642049236,0.25349301397205587,0.15834996673320018,0.11576846307385286,0.25349301397205587,0.4750499001996008,0.5788423153692615
500,FastText,fasterRCNN,1.0,0.2374167332800424,0.1418864908073541,0.09992006394884202,0.08313349320543434,0.1418864908073541,0.2997601918465228,0.41566746602717825
1000,FastText,fasterRCNN,1.0,0.17688977688977842,0.1012987012987013,0.0769896769896761,0.08313349320543434,0.1012987012987013,0.23096903096903096,0.3204795204795205
100,FastText,RESNET50,1.0,0.40612109115103134,0.2834331337325349,0.17298735861610082,0.12215568862275515,0.2834331337325349,0.5189620758483033,0.6107784431137725
500,FastText,RESNET50,1.0,0.2852051691979756,0.18305355715427657,0.1217692512656542,0.09360511590727227,0.18305355715427657,0.36530775379696245,0.4680255795363709
1000,FastText,RESNET50,1.0,0.20822510822511028,0.12447552447552447,0.08997668997668835,0.09360511590727227,0.12447552447552447,0.2699300699300699,0.36583416583416584
