frame,id,bb_left,bb_top,bb_width,bb_height,conf,x,y,z
0,1,558.36,94.45,105.13,74.86,-1,-1,-1,-1
0,2,573.7,72.89,87.70999999999992,72.16000000000001,-1,-1,-1,-1
0,4,913.24,93.02,58.89999999999998,51.55,-1,-1,-1,-1
0,5,894.24,95.32,50.67999999999995,48.68000000000001,-1,-1,-1,-1
0,6,878.4,107.28,49.10000000000002,38.44,-1,-1,-1,-1
0,8,1176.01,82.17,77.1099999999999,91.91000000000001,-1,-1,-1,-1
0,0,1285.84,363.23,230.51999999999998,183.67999999999995,-1,-1,-1,-1
0,3,931.96,78.33,81.36000000000001,67.67999999999999,-1,-1,-1,-1
1,1,558.36,94.45,105.13,74.86,-1,-1,-1,-1
1,2,573.7,72.89,87.70999999999992,72.16000000000001,-1,-1,-1,-1
1,4,913.24,93.02,58.89999999999998,51.55,-1,-1,-1,-1
1,5,894.24,95.32,50.67999999999995,48.68000000000001,-1,-1,-1,-1
1,6,878.4,107.28,49.10000000000002,38.44,-1,-1,-1,-1
1,8,1176.01,82.17,77.1099999999999,91.91000000000001,-1,-1,-1,-1
1,0,1285.84,363.23,230.51999999999998,183.67999999999995,-1,-1,-1,-1
1,3,931.96,78.33,81.36000000000001,67.67999999999999,-1,-1,-1,-1
2,1,558.36,94.45,105.13,74.86,-1,-1,-1,-1
2,2,573.7,72.89,87.70999999999992,72.16000000000001,-1,-1,-1,-1
2,4,913.24,93.02,58.89999999999998,51.55,-1,-1,-1,-1
2,5,894.24,95.32,50.67999999999995,48.68000000000001,-1,-1,-1,-1
2,6,878.4,107.28,49.10000000000002,38.44,-1,-1,-1,-1
2,8,1176.01,82.17,77.1099999999999,91.91000000000001,-1,-1,-1,-1
2,0,1285.84,363.23,230.51999999999998,183.67999999999995,-1,-1,-1,-1
2,3,931.96,78.33,81.36000000000001,67.67999999999999,-1,-1,-1,-1
3,1,558.36,94.45,105.13,74.86,-1,-1,-1,-1
3,2,573.7,72.89,87.70999999999992,72.16000000000001,-1,-1,-1,-1
3,4,913.24,93.02,58.89999999999998,51.55,-1,-1,-1,-1
3,5,894.24,95.32,50.67999999999995,48.68000000000001,-1,-1,-1,-1
3,6,878.4,107.28,49.10000000000002,38.44,-1,-1,-1,-1
3,8,1176.01,82.17,77.1099999999999,91.91000000000001,-1,-1,-1,-1
3,0,1285.84,363.23,230.51999999999998,183.67999999999995,-1,-1,-1,-1
3,3,931.96,78.33,81.36000000000001,67.67999999999999,-1,-1,-1,-1
4,1,558.36,94.45,105.13,74.86,-1,-1,-1,-1
4,2,573.7,72.89,87.70999999999992,72.16000000000001,-1,-1,-1,-1
4,4,913.24,93.02,58.89999999999998,51.55,-1,-1,-1,-1
4,5,894.24,95.32,50.67999999999995,48.68000000000001,-1,-1,-1,-1
4,6,878.4,107.28,49.10000000000002,38.44,-1,-1,-1,-1
4,8,1176.01,82.17,77.1099999999999,91.91000000000001,-1,-1,-1,-1
4,0,1285.84,363.23,230.51999999999998,183.67999999999995,-1,-1,-1,-1
4,3,931.96,78.33,81.36000000000001,67.67999999999999,-1,-1,-1,-1
5,1,558.36,94.45,105.13,74.86,-1,-1,-1,-1
5,2,573.7,72.89,87.70999999999992,72.16000000000001,-1,-1,-1,-1
5,4,913.24,93.02,58.89999999999998,51.55,-1,-1,-1,-1
5,5,894.24,95.32,50.67999999999995,48.68000000000001,-1,-1,-1,-1
5,6,878.4,107.28,49.10000000000002,38.44,-1,-1,-1,-1
5,8,1176.01,82.17,77.1099999999999,91.91000000000001,-1,-1,-1,-1
5,0,1285.84,363.23,230.51999999999998,183.67999999999995,-1,-1,-1,-1
5,3,931.96,78.33,81.36000000000001,67.67999999999999,-1,-1,-1,-1
6,1,558.36,94.45,105.13,74.86,-1,-1,-1,-1
